User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:47:12Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketAlreadyOwnedByYou,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-udacity""}]",E01F95451882F25D,537135a0-99f0-4273-a821-3fed60110a63,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:47:00Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketAlreadyOwnedByYou,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-udacity""}]",29ADF50FCD95CA56,3816c85a-5e32-4a7a-8910-5be787969916,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJSESIAR6D,2020-12-23T15:46:53Z,s3.amazonaws.com,PutBucketPublicAccessBlock,eu-central-1,188.61.136.155,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-70ce9751""}]",EB1324107CF1DC74,ffd1bd0c-4357-4368-a686-325740629821,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:45:56Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketAlreadyOwnedByYou,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-udacity""}]",226F0433ACEEC7ED,9a9661fa-3c36-4af4-9d5e-a76ff8f16186,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:45:47Z,s3.amazonaws.com,PutBucketPublicAccessBlock,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-udacity""}]",327AF1F1CBA82E5F,31b05c97-78f9-4fb3-ab97-a4bf67580dc8,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:45:47Z,s3.amazonaws.com,PutBucketPolicy,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-udacity""}]",9620FBBED5044EB5,ff958b44-0e6f-4298-a350-7da45dbf9199,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:45:46Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-udacity""}]",6F342B41CF24D631,8c3b2760-0a73-49c1-8609-715123966141,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:37:56Z,s3.amazonaws.com,PutBucketPublicAccessBlock,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-70ce9751""}]",F474014D488B5B57,0960b6d7-d371-445e-8ac5-426d29589def,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:37:56Z,s3.amazonaws.com,PutBucketPolicy,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-70ce9751""}]",D43174C0EF48D96B,22694da9-2384-4d0a-a4a5-984550b61e71,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:37:56Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-70ce9751""}]",9DCAFD8022E749FA,b7bfa235-11cb-470a-b568-bfb0a8c856a5,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:34:32Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trail-log""}]",02F988B4AF21B754,81b496b6-034c-47a5-b530-8d63f341f3bb,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:33:40Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trail-log""}]",3CADA2E67C7A4417,aed7fd1c-9e7a-46ef-b1c8-3da493961e19,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:21:30Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",418c1f09-d869-448c-90d7-d9fd5609e1e4,2cbdaffe-fa16-4b77-859c-7176f882ab0b,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:21:29Z,iam.amazonaws.com,CreateUser,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::724852464723:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2RRES3RJ7GEMJ3F2J""}]",4c03f8f2-589f-49b7-b84b-49f714593343,3696b039-5cc2-4e14-a770-84d896e8db23,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:21:29Z,iam.amazonaws.com,AddUserToGroup,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",df77abfa-fb23-4ca9-ac8b-12a054ac2240,54bf7574-21e1-4d29-a371-0ae722f70e3a,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:20:07Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",7e337f3b-ecc1-455b-a2fc-821e26753fd0,27f32976-a50d-4b10-aa14-72d1d132ec8c,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:20:07Z,iam.amazonaws.com,AddUserToGroup,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",b2ab2690-f6e6-4999-9687-ebfe9dd2f3ac,3d1ad09e-08b1-49ac-89d2-432988c4742e,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:20:06Z,iam.amazonaws.com,CreateUser,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::724852464723:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2RRES3RJ7WL2MSXKX""}]",e645720c-d0a3-4670-a53a-251506bbde7c,81c2dd06-55a0-4bc7-bdf5-d1bc981779a3,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:13:52Z,iam.amazonaws.com,CreateGroup,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::724852464723:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2RRES3RJ5KGKAKQ2V""}]",fb2a4a2c-e98f-4172-9478-38b99c78fd42,ad80285c-c2dc-4700-99bc-db243bfb2e30,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:13:52Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",a9fdf71b-a687-451d-b0e4-c682732ab875,c7753059-ba81-4fb0-b438-466f8c86effc,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:10:32Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",74f33159-c995-4440-a882-24c2b7d22e1d,4c8eca2e-f0ba-4f41-978a-32989b4917d4,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:10:32Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",6998ac2d-703b-4ca6-9c6a-e616ea67c952,5d963c99-b1c7-4f07-884d-42cb9d4cfd66,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJ4NPNECXI,2020-12-23T15:10:32Z,iam.amazonaws.com,CreateGroup,us-east-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::724852464723:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2RRES3RJ76QSVLUQB""}]",93174678-723f-4381-adee-c3f35b4aa09d,cf4eb8d9-7280-42c2-998b-65f118ebaa14,false,AwsApiCall,724852464723,Management
root,,2020-12-23T15:09:39Z,signin.amazonaws.com,ConsoleLogin,us-east-1,188.61.136.155,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:84.0) Gecko/20100101 Firefox/84.0,,[],,b9beb96e-86c6-4b13-b7ff-db4465443287,false,AwsConsoleSignIn,724852464723,Management
root,ASIA2RRES3RJY64AUAFL,2020-12-23T15:01:52Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,188.61.136.155,console.amazonaws.com,,[],cbf77f68-697b-4dd3-a892-06a3e685aaee,448463ae-e4d2-441c-9d67-426fd9d01176,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJY64AUAFL,2020-12-23T15:00:28Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,188.61.136.155,console.amazonaws.com,,[],a10b45de-5867-491e-8f01-35320d323e5c,7fa7fd9b-8549-4223-a69b-961f35a20314,false,AwsApiCall,724852464723,Management
root,ASIA2RRES3RJY64AUAFL,2020-12-23T15:00:05Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,188.61.136.155,console.amazonaws.com,,[],1634b82c-b120-43e8-a5b8-573f6b00ca68,e8f832ac-cd22-4b71-bc6a-a652cb2d44e6,false,AwsApiCall,724852464723,Management
root,,2020-12-23T14:57:59Z,signin.amazonaws.com,ConsoleLogin,us-east-1,188.61.136.155,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,d667d8f0-079b-41c1-b559-6d28c62bc402,false,AwsConsoleSignIn,724852464723,Management
